Indicator,Country,2016,2017,2018,2019,2020
Agricultural land (% of land area),Afghanistan,58.12366803,58.12366803,58.27698818,58.27698818,58.74154823
Agricultural land (% of land area),Albania,43.12773723,42.8569708,42.84967153,42.84671533,42.53850365
Agricultural land (% of land area),Algeria,17.36553219,17.35501081,17.35656799,17.34700415,17.34700415
Agricultural land (% of land area),American Samoa,13.75,13.9,14.05,14.2,14.35
Agricultural land (% of land area),Andorra,40.04255319,40.04255319,40.07234043,40.00021277,39.95170213
Agricultural land (% of land area),Angola,36.75623646,36.71452635,36.7305687,36.7987487,36.81078046
Agricultural land (% of land area),Antigua and Barbuda,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545
Agricultural land (% of land area),Argentina,43.4794953,42.98638136,42.37153631,42.59077926,43.02926517
Agricultural land (% of land area),Armenia,58.89708465,58.87249737,58.914647,58.90410959,58.8689849
Agricultural land (% of land area),Aruba,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111
Agricultural land (% of land area),Australia,44.53992579,48.34061794,46.65809501,47.12377243,46.25247984
Agricultural land (% of land area),Austria,32.35785264,32.16941348,32.14772176,32.12809016,31.53981338
Agricultural land (% of land area),Azerbaijan,57.73557518,57.79560136,57.8253926,57.82781233,57.83824989
Agricultural land (% of land area),"Bahamas, The",1.298701299,1.298701299,1.298701299,1.298701299,1.298701299
Agricultural land (% of land area),Bahrain,10.55198973,10.3974359,10.41131105,10.38461538,10.31847134
Agricultural land (% of land area),Bangladesh,73.11369747,73.45263886,73.95943766,75.83928709,76.26949374
Agricultural land (% of land area),Barbados,23.25581395,23.25581395,23.25581395,23.25581395,23.25581395
Agricultural land (% of land area),Belarus,42.03548978,41.84483812,41.64449699,41.32239549,40.79712287
Agricultural land (% of land area),Belgium,44.61030383,43.82430647,44.71598415,44.79599075,45.06635733
Agricultural land (% of land area),Belize,7.452871548,7.540552389,7.540552389,7.628233231,7.891275756
Agricultural land (% of land area),Benin,35.03015254,35.03015254,35.03015254,35.03015254,35.03015254
Agricultural land (% of land area),Bermuda,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556
Agricultural land (% of land area),Bhutan,13.60633389,13.44903523,13.45044573,13.45044573,13.45044573
Agricultural land (% of land area),Bolivia,34.87974808,34.77480522,34.96409056,35.07377633,35.0850864
Agricultural land (% of land area),Bosnia and Herzegovina,43.14453125,43.515625,43.18359375,43.28125,43.7890625
Agricultural land (% of land area),Botswana,45.63301749,45.63301749,45.63301749,45.63372329,45.63372329
Agricultural land (% of land area),Brazil,28.2549706,28.34106631,28.41562848,28.4901295,28.56461856
Agricultural land (% of land area),British Virgin Islands,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667
Agricultural land (% of land area),Brunei Darussalam,2.542694497,2.542694497,2.542694497,2.542694497,2.542694497
Agricultural land (% of land area),Bulgaria,46.25092115,46.3294031,46.33382461,46.39830508,46.49042004
Agricultural land (% of land area),Burkina Faso,44.23245614,44.65277778,45.36915205,45.75657895,46.10380117
Agricultural land (% of land area),Burundi,76.63551402,77.68691589,78.73831776,79.78971963,80.8411215
Agricultural land (% of land area),Cabo Verde,19.60297767,19.60297767,19.60297767,19.60297767,19.60297767
Agricultural land (% of land area),Cambodia,32.29311126,32.76757251,33.1740528,33.7108305,34.24760764
Agricultural land (% of land area),Cameroon,20.62575363,20.62575363,20.62575363,20.62575363,20.62575363
Agricultural land (% of land area),Canada,6.474755147,6.454410697,6.456819908,6.434356244,6.370735222
Agricultural land (% of land area),Cayman Islands,11.25,11.25,11.25,11.25,11.25
Agricultural land (% of land area),Central African Republic,7.876657357,7.876657357,7.879867733,7.879867733,7.879867733
Agricultural land (% of land area),Chad,39.97617535,39.97617535,39.97617535,39.97617535,39.97617535
Agricultural land (% of land area),Channel Islands,46.91919192,46.56565657,43.28282828,43.28282828,43.28282828
Agricultural land (% of land area),Chile,16.71920913,16.22625657,15.73330401,15.23900518,14.74605397
Agricultural land (% of land area),China,55.70300409,55.62287167,55.54273924,55.46264943,55.46264943
Agricultural land (% of land area),Colombia,40.35042812,39.19513294,39.70076611,39.97656602,39.7046219
Agricultural land (% of land area),Comoros,71.46695325,71.46695325,71.46695325,71.46695325,71.46695325
Agricultural land (% of land area),"Congo, Dem. Rep.",14.41168038,14.69795549,14.8183763,14.92247635,14.95114797
Agricultural land (% of land area),"Congo, Rep.",31.11859444,31.12152269,31.13030747,31.13616398,31.15373353
Agricultural land (% of land area),Costa Rica,34.8021935,34.88053271,34.90990991,34.7826087,34.97845672
Agricultural land (% of land area),Cote d'Ivoire,68.86792453,69.18238994,72.79874214,73.05031447,73.27044025
Agricultural land (% of land area),Croatia,27.62490172,26.74933886,26.51704667,26.87441927,26.89421015
Agricultural land (% of land area),Cuba,59.8490965,60.69364162,60.69364162,61.66666667,61.66666667
Agricultural land (% of land area),Curacao,..,..,..,..,..
Agricultural land (% of land area),Cyprus,11.83874459,13.14069264,14.33408009,13.56367965,13.81485931
Agricultural land (% of land area),Czechia,45.1754954,45.60290118,45.62880456,45.63999974,45.64686659
Agricultural land (% of land area),Denmark,65.6275,65.7825,65.8125,65.649125,65.499675
Agricultural land (% of land area),Djibouti,73.45987921,73.45987921,73.45987921,73.46419327,73.50733391
Agricultural land (% of land area),Dominica,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333
Agricultural land (% of land area),Dominican Republic,50.27944525,50.27944525,50.27944525,51.10349035,51.10349035
Agricultural land (% of land area),Ecuador,22.2096956,22.50765019,21.9358995,21.46078273,21.82315993
Agricultural land (% of land area),"Egypt, Arab Rep.",3.750831684,3.854506806,3.880656989,3.939926666,3.989150635
Agricultural land (% of land area),El Salvador,58.59555985,58.16602317,57.70752896,57.70752896,57.70752896
Agricultural land (% of land area),Equatorial Guinea,3.72228164,3.726916221,3.731550802,3.736185383,3.740463458
Agricultural land (% of land area),Eritrea,62.70366146,62.70688595,62.7035294,62.70206281,62.72263717
Agricultural land (% of land area),Estonia,23.07338394,22.97076023,23.04093567,23.12046784,23.04093567
Agricultural land (% of land area),Eswatini,70.23255814,70,69.8255814,69.59302326,69.47674419
Agricultural land (% of land area),Ethiopia,33.07936603,33.26392822,33.58523429,33.83925761,34.09275178
Agricultural land (% of land area),Faroe Islands,69.01862464,69.01862464,69.00787966,69.00787966,70.32942899
Agricultural land (% of land area),Fiji,17.23590586,17.19759168,17.1592775,17.12096333,17.05528188
Agricultural land (% of land area),Finland,7.485768813,7.469070808,7.475651487,7.481985984,7.468579325
Agricultural land (% of land area),France,52.4475461,52.4100669,52.34176533,52.27069693,52.14754628
Agricultural land (% of land area),French Polynesia,13.10861423,13.39671564,13.68481706,13.68481706,13.97291847
Agricultural land (% of land area),Gabon,8.356564598,8.356564598,8.356564598,8.356564598,8.356564598
Agricultural land (% of land area),"Gambia, The",63.63636364,62.64822134,62.64822134,62.64822134,62.64822134
Agricultural land (% of land area),Georgia,34.45100014,34.31860699,34.16606706,34.14304216,34.21931213
Agricultural land (% of land area),Germany,47.68433707,47.76311647,47.64153644,47.70027763,47.49706632
Agricultural land (% of land area),Ghana,54.31107585,53.10698734,53.69403885,54.84738639,55.39301991
Agricultural land (% of land area),Gibraltar,..,..,..,..,..
Agricultural land (% of land area),Greece,47.60279286,46.96307836,46.11086424,45.5173623,45.5173623
Agricultural land (% of land area),Greenland,0.592301133,0.592301133,0.592301133,0.592301133,0.592301133
Agricultural land (% of land area),Grenada,23.52941176,23.52941176,23.52941176,23.52941176,23.52941176
Agricultural land (% of land area),Guam,31.48148148,31.48148148,29.62962963,29.62962963,29.62962963
Agricultural land (% of land area),Guatemala,41.93542367,42.2135125,42.49160134,42.76969018,43.03844718
Agricultural land (% of land area),Guinea,59.27478431,59.39687449,59.50675566,59.53931304,59.5596614
Agricultural land (% of land area),Guinea-Bissau,28.38655761,28.68669986,28.98684211,28.98684211,28.98684211
Agricultural land (% of land area),Guyana,5.293370587,5.293370587,5.293370587,5.293370587,5.293370587
Agricultural land (% of land area),Haiti,75.03628447,72.9317852,72.38751814,64.94920174,64.94920174
Agricultural land (% of land area),Honduras,30.6014836,31.17347395,31.36115828,31.36115828,31.62034141
Agricultural land (% of land area),"Hong Kong SAR, China",4.761904762,4.857142857,4.761904762,4.761904762,3.80952381
Agricultural land (% of land area),Hungary,57.87858865,58.10870042,58.03199649,57.83475783,53.8754394
Agricultural land (% of land area),Iceland,18.67331671,18.67331671,18.56590301,18.56590301,18.56590301
Agricultural land (% of land area),India,60.39909996,60.2839388,60.24356466,60.21981337,60.04586286
Agricultural land (% of land area),Indonesia,31.79728141,33.71470542,34.03427608,34.14079964,34.2473232
Agricultural land (% of land area),"Iran, Islamic Rep.",28.21410153,28.61941448,28.91525424,28.96045196,28.98469442
Agricultural land (% of land area),Iraq,21.44298456,21.48905392,21.53512328,21.58119264,21.74243541
Agricultural land (% of land area),Ireland,64.75540717,65.16185223,65.55378139,65.66990855,65.49571781
Agricultural land (% of land area),Isle of Man,71.40350877,70.52631579,70.70175439,70.70175439,69.8245614
Agricultural land (% of land area),Israel,25.50831793,29.75970425,29.6349353,29.50092421,29.87060998
Agricultural land (% of land area),Italy,43.32505969,43.3743296,41.94874847,44.36999564,42.33226362
Agricultural land (% of land area),Jamaica,38.50415512,38.50415512,38.50415512,38.50415512,38.50415512
Agricultural land (% of land area),Japan,13.20438957,13.10836763,13.02057613,12.93552812,12.84499314
Agricultural land (% of land area),Jordan,12.00675828,11.34264474,11.50934895,11.67308602,11.58862085
Agricultural land (% of land area),Kazakhstan,80.09856651,80.08804682,80.02226173,79.25854725,79.26925214
Agricultural land (% of land area),Kenya,48.62951119,48.6488386,48.668166,48.68749341,48.68749341
Agricultural land (% of land area),Kiribati,41.97530864,41.97530864,41.97530864,41.97530864,41.97530864
Agricultural land (% of land area),"Korea, Dem. People's Rep.",21.75899012,21.59289096,21.59289096,21.55136617,21.55136617
Agricultural land (% of land area),"Korea, Rep.",17.44607084,17.19515947,16.94011485,16.77254098,16.60860656
Agricultural land (% of land area),Kosovo,..,..,..,..,..
Agricultural land (% of land area),Kuwait,8.417508418,8.496071829,8.417508418,8.417508418,8.417508418
Agricultural land (% of land area),Kyrgyz Republic,54.95881126,54.9535975,54.07090719,54.05839416,54.0552659
Agricultural land (% of land area),Lao PDR,10.1169844,9.787261698,9.457538995,9.127816291,8.79982669
Agricultural land (% of land area),Latvia,31.03154579,31.06368618,31.14403715,31.49758144,31.64068777
Agricultural land (% of land area),Lebanon,65.59139785,65.81818182,65.64516129,65.62072336,66.20723363
Agricultural land (% of land area),Lesotho,77.60210804,79.64426877,80.14822134,80.13833992,80.13833992
Agricultural land (% of land area),Liberia,19.17029381,19.48389016,19.79758929,19.96511628,19.96511628
Agricultural land (% of land area),Libya,8.723871012,8.723871012,8.723871012,8.723871012,8.723871012
Agricultural land (% of land area),Liechtenstein,32.5,32.375,32.375,32.3125,32.3125
Agricultural land (% of land area),Lithuania,47.15526324,46.8590859,47.05412741,47.50878314,46.99457042
Agricultural land (% of land area),Luxembourg,50.74889491,50.94582942,51.10159024,51.11440846,51.32571491
Agricultural land (% of land area),"Macao SAR, China",..,..,..,..,..
Agricultural land (% of land area),Madagascar,70.29047783,70.29047783,70.29047783,70.29047783,70.29047783
Agricultural land (% of land area),Malawi,61.1158252,61.69919389,62.29316928,62.87653797,63.47051336
Agricultural land (% of land area),Malaysia,26.08735352,26.08735352,26.08735352,26.08735352,26.08735352
Agricultural land (% of land area),Maldives,21.33333333,21.33333333,21.33333333,21.33333333,21.33333333
Agricultural land (% of land area),Mali,34.57330416,34.72819807,34.88309198,35.03798589,35.1928798
Agricultural land (% of land area),Malta,32.4375,32.4375,32.4375,32.4375,28.46875
Agricultural land (% of land area),Marshall Islands,38.88888889,38.88888889,38.88888889,38.88888889,38.88888889
Agricultural land (% of land area),Mauritania,38.52721451,38.52721451,38.52721451,38.52721451,38.52721451
Agricultural land (% of land area),Mauritius,43.0645969,43.0645969,43.0645969,43.0645969,43.0645969
Agricultural land (% of land area),Mexico,50.58669204,49.87062424,49.64942514,49.43851437,49.96939222
Agricultural land (% of land area),"Micronesia, Fed. Sts.",7.142857143,7.142857143,7.142857143,7.142857143,7.142857143
Agricultural land (% of land area),Moldova,70.49574209,70.45606567,68.63553016,68.77111467,68.86506146
Agricultural land (% of land area),Monaco,..,..,..,..,..
Agricultural land (% of land area),Mongolia,72.92367713,72.86357138,72.8416348,72.80328629,72.35894359
Agricultural land (% of land area),Montenegro,19.01115242,19.05576208,19.0929368,19.10780669,19.17843866
Agricultural land (% of land area),Morocco,69.17992382,69.56430249,68.39750661,66.34978042,68.02151019
Agricultural land (% of land area),Mozambique,52.1499911,52.43190315,52.66389277,52.66389277,52.66389277
Agricultural land (% of land area),Myanmar,19.5471675,19.99785523,20.02650529,19.88570553,19.88753888
Agricultural land (% of land area),Namibia,47.14013288,47.14134752,47.14134752,47.14134752,47.14134752
Agricultural land (% of land area),Nauru,20,20,20,20,20
Agricultural land (% of land area),Nepal,28.74782002,28.74782002,28.74782002,28.74782002,28.74782002
Agricultural land (% of land area),Netherlands,53.90555391,54.02435402,54.14315414,53.95901396,53.88921889
Agricultural land (% of land area),New Caledonia,10.06728665,10.06728665,10.06728665,10.06728665,10.06728665
Agricultural land (% of land area),New Zealand,40.30990088,40.42383502,39.86935551,39.28829137,38.56291064
Agricultural land (% of land area),Nicaragua,42.15555925,42.22203756,42.24696693,42.24696693,42.30513545
Agricultural land (% of land area),Niger,36.62666772,36.7845583,36.7845583,36.7845583,36.7845583
Agricultural land (% of land area),Nigeria,74.54242015,74.70492001,74.87290974,75.03760554,75.20339932
Agricultural land (% of land area),North Macedonia,50.15860428,50.19825535,50.11895321,50.15860428,50.03965107
Agricultural land (% of land area),Northern Mariana Islands,3.695652174,3.695652174,1.173913043,1.173913043,1.173913043
Agricultural land (% of land area),Norway,2.693886082,2.698027788,2.701337686,2.695892017,2.70656766
Agricultural land (% of land area),Oman,4.639741519,4.691179321,4.716930533,4.72180937,4.713828756
Agricultural land (% of land area),Pakistan,47.72986716,48.00098589,47.93612495,47.11887713,47.63776463
Agricultural land (% of land area),Palau,9.347826087,9.347826087,9.347826087,9.347826087,9.347826087
Agricultural land (% of land area),Panama,29.85698867,29.72207232,29.56322459,29.42841736,29.30843893
Agricultural land (% of land area),Papua New Guinea,2.932473612,3.102504085,3.102504085,3.100295897,3.131210529
Agricultural land (% of land area),Paraguay,42.11965769,42.0919708,42.30339794,42.30843192,42.30843192
Agricultural land (% of land area),Peru,19.09609375,19.15477188,19.29577266,19.12366406,19.52889844
Agricultural land (% of land area),Philippines,42.11020559,42.2242345,42.3013717,42.3785089,42.45564611
Agricultural land (% of land area),Poland,46.94470753,47.23211078,47.3985041,47.44372938,48.12661288
Agricultural land (% of land area),Portugal,39.50664588,40.10008995,40.79190028,43.12531657,43.16609028
Agricultural land (% of land area),Puerto Rico,20.11273957,19.59413754,19.04171364,19.04171364,19.04171364
Agricultural land (% of land area),Qatar,6.179286336,6.266318538,6.440382942,6.440382942,6.440382942
Agricultural land (% of land area),Romania,58.76651599,58.14499305,58.30146036,60.09214186,56.71505563
Agricultural land (% of land area),Russian Federation,13.15843626,13.15843626,13.15843626,13.15843626,13.15843626
Agricultural land (% of land area),Rwanda,81.27280097,81.27280097,79.00283745,77.17875963,79.39197406
Agricultural land (% of land area),Samoa,24.31448763,22.30215827,19.84532374,17.77338129,17.77338129
Agricultural land (% of land area),San Marino,38.33333333,38.33333333,38.33333333,38.33333333,38.33333333
Agricultural land (% of land area),Sao Tome and Principe,41.66666667,42.70833333,43.75,43.75,43.75
Agricultural land (% of land area),Saudi Arabia,80.76838986,80.7540157,80.75373659,80.7634752,80.77321381
Agricultural land (% of land area),Senegal,48.24183244,48.42362229,48.60541214,48.79758999,48.97937984
Agricultural land (% of land area),Serbia,39.51520695,39.09215641,39.60667734,39.56094214,41.40801522
Agricultural land (% of land area),Seychelles,3.369565217,3.369565217,3.369565217,3.369565217,3.369565217
Agricultural land (% of land area),Sierra Leone,54.71044611,54.71044611,54.71044611,54.71044611,54.71044611
Agricultural land (% of land area),Singapore,0.930888575,0.926966292,0.924369748,0.921787709,0.919220056
Agricultural land (% of land area),Sint Maarten (Dutch part),..,..,..,..,..
Agricultural land (% of land area),Slovak Republic,39.22628952,39.08069884,39.28868552,39.20549085,39.16389351
Agricultural land (% of land area),Slovenia,30.65633999,30.54111361,30.39272164,30.40662681,30.31773306
Agricultural land (% of land area),Solomon Islands,4.180064309,4.287245445,4.287245445,4.287245445,4.287245445
Agricultural land (% of land area),Somalia,70.33825358,70.33825358,70.33825358,70.33984761,70.34144164
Agricultural land (% of land area),South Africa,79.41785028,79.41785028,79.41785028,79.41785028,79.41785028
Agricultural land (% of land area),South Sudan,44.87326524,44.8174244,44.70574272,44.70574272,44.70542623
Agricultural land (% of land area),Spain,52.57724736,52.63871383,52.40820971,52.45849173,52.33167922
Agricultural land (% of land area),Sri Lanka,44.43151891,44.59631945,45.44807966,45.44729471,45.45748464
Agricultural land (% of land area),St. Kitts and Nevis,23.07692308,23.07692308,23.07692308,23.07692308,23.07692308
Agricultural land (% of land area),St. Lucia,16.29508197,16.29508197,16.29508197,16.29508197,16.29508197
Agricultural land (% of land area),St. Martin (French part),..,..,..,..,..
Agricultural land (% of land area),St. Vincent and the Grenadines,17.94871795,17.94871795,17.94871795,17.94871795,17.94871795
Agricultural land (% of land area),Sudan,59.98650964,60.14974304,60.31297645,60.31297645,60.31308351
Agricultural land (% of land area),Suriname,0.557692308,0.538461538,0.538461538,0.538461538,0.512820513
Agricultural land (% of land area),Sweden,7.41674708,7.393300602,7.36634329,7.377611261,7.379478334
Agricultural land (% of land area),Switzerland,38.33866073,38.259885,38.18240515,38.10503414,38.0271063
Agricultural land (% of land area),Syrian Arab Republic,75.78351032,75.80477591,75.79201656,75.75741437,75.76853455
Agricultural land (% of land area),Tajikistan,35.12789106,35.35629368,35.38871677,35.43627062,35.42041934
